Content Title,Content Description,Content Type,Content Last Watched Date (if viewed),Content Completed At (if completed),Content Saved,Notes taken on videos (if taken),
Nano Tips for Negotiating Your Salary with Sho Dewan,"Welcome to our <i>Nano Tips</i> series, where LinkedIn Learning creators deliver impactful lessons in literally seconds. In this installment, discover the secrets to navigating a successful salary negotiation, with key insights from Sho Dewan, the CEO of Workhap and a LinkedIn Top Voice for job searches and careers.<br><br>Learn the essentials of talking about salary so you know what to say when it counts. Find out how to research salaries, work closely with recruiters, share your salary expectations, and consider your compensation package beyond just the numbers. Sho walks you through the three most important things to know before you even start the negotiation, with pointers on how to make a counteroffer that’s fair to you and competitive with the market. Along the way, Sho also tells what to say when you’re ready to ask for a raise.",Course,2022-07-25 13:53 UTC,N/A,false,N/A,
Data Visualization in R with ggplot2,"Discover how to create informative and visually appealing data visualizations using ggplot2, the leading visualization package for R. In this course, Mike Chapple shows how to work with ggplot2 to create basic visualizations, how to beautify those visualizations by applying different aesthetics, and how to visualize data with maps. Throughout the course, Mike also covers key concepts such as the grammar of graphics and how to apply different geometries to visualize data. To wrap up, he shares a case study that lends a practical context to the concepts covered in the course.",Course,2022-03-05 00:52 UTC,N/A,false,N/A,
Power BI Top Skills,"You don’t need to have a team dedicated to analytics to unlock key insights in your data. All you need is Microsoft Power BI, the user-friendly, data analytics tool that can change your workflow and streamline it anew. In this course, instructor John David Ariansen teaches you the essential skills you need to know to analyze data correctly and effectively with Power BI.<br><br>Learn about importing data, manipulating data, managing relationships, working with Data Analysis Expressions (DAX), and building visualizations and reports. Get tips and insights on how to get the most out of this powerful analytic tool. Upon completing this course, you’ll be ready to start using Power BI for all your business intelligence and reporting needs.<br><br>This course was created by <a href=""http://www.onlymadecraft.com"" target=""_blank"">Madecraft</a>. We are pleased to host this training in our library.<br><br><img src=""http://files3.lynda.com/files/course_description_images/MadeCraft-Description-Logo.jpg"" height=""20%"" width=""20%"">",Course,2022-03-03 00:20 UTC,N/A,false,N/A,
Azure Administration Essential Training,"Get a cloud administrator's view of Microsoft Azure. David Elfassy covers the essentials of Azure, providing an inside look at working with its cloud-based storage and networking services, which can scale up or down as your organization changes. He goes over Azure management tools, shares tactics for controlling costs, and shows how to manage your Azure account and configure options via PowerShell scripting. Plus, he details how to set up services successfully, including web apps, virtual machines, Active Directory, and VPNs.",Course,2021-03-02 13:47 UTC,N/A,false,N/A,
Excel: Charts in Depth,"Excel charts allow you to communicate information with much more impact than raw numbers and are surprisingly easy to generate. Instructor Dennis Taylor shows you how to create different kinds of Excel charts, from column, bar, line and pie to more recently introduced types like Treemap, Funnel, and Pareto. He explains what types of data work best with each so you can decide which type to choose for your specific information. Plus, learn how to fine-tune your chart's color and style; add titles, labels, and legends; insert shapes, pictures, and text boxes; and pull data from multiple sources.",Course,2021-12-23 03:35 UTC,N/A,false,N/A,
Python: Design Patterns,"If you’re a programmer, you’re probably plenty busy, so why not save some time and avoid reinventing the wheel by reusing well-proven design solutions—software design patterns—to improve your code quality? Design patterns encourage programming efficiency and code reuse. In this course, Jungwoo Ryoo takes a look at traditional design patterns as applied to Python. Jungwoo Ryoo covers 15 essential creational, structural, and behavioral patterns to help you solve common coding challenges, while introducing best practices that can help keep your solutions consistent, complete, and correct.",Course,2022-05-31 19:49 UTC,N/A,false,N/A,
Product Management: Building a Product Strategy,"Behind every successful product there is a clear strategic vision that takes both market and customer needs into account. Essentially, strategy is the set of choices a company makes in order to achieve its objectives. These choices include which products to develop, which market segments to focus on, how to differentiate, how to price, how to position, and more. Product leaders are the guardians of a company's strategy. While many people and teams can contribute to developing a strategy, product leaders need to articulate it and ensure that it's done in a way that is applicable for day-to-day decision-making. This course lays out how to develop an effective product strategy. Instructors Eldad Persky and Teg Grenager walk through a step-by-step process for creating a smart, thoughtful strategy, and explain how to build support for it. Plus, they go over how to maintain and implement your strategy.",Course,2022-07-22 22:21 UTC,N/A,false,N/A,
Mistakes to Avoid in Your Career,"In your career, it's natural to experience blunders and missteps. These experiences provide you with valuable lessons and takeaways that can help you succeed downstream. In this course, longtime consultant Trevor Kasmar shares his knowledge on common career mistakes, allowing you to learn from these errors without having to actually experience them. Trevor starts by outlining the importance of investing in yourself as a means to stay focused, improve self-awareness, and support a positive culture. He then walks through the missteps of not taking ownership in your career and allowing distractions to lead you off course. Finally, Trevor shares his lessons on the downfalls that can come from people-pleasing and struggling to communicate. After this course, you’ll have a list of lessons you can apply to your career to help you succeed.

<br><br>This course was created by <a href=""http://www.onlymadecraft.com"" target=""_blank"">Madecraft</a>. We are pleased to host this training in our library.<br><br><img src=""http://files3.lynda.com/files/course_description_images/MadeCraft-Description-Logo.jpg"" height=""20%"" width=""20%"">",Course,2022-07-02 22:44 UTC,N/A,false,N/A,
Learning SQL Programming,"More from LinkedIn Learning's top experts<br><div><a href=""https://www.linkedin.com/newsletters/6758092793329016832?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">Programming Languages Newsletter</a></div><br>Structured Query Language (SQL) is a common tool for retrieving data from relational databases such as SQL Server, MySQL, MariaDB, and PostgreSQL. This course provides an introduction to this core programming language. Learn how to request data from a database, limit and sort the responses, aggregate data from multiple tables with joins, and edit and delete data. Instructor Scott Simpson also shows how to perform simple math operations and transform data into different formats.",Course,2021-08-10 19:52 UTC,N/A,false,N/A,
How to Give Negative Feedback to Senior Colleagues,"Ever been in a situation where you don't quite agree with something your boss said? Maybe you feel your manager could have dealt with a situation slightly differently? There will come a time in your career when you need to provide feedback to a boss or senior colleague. Good bosses will understand your feedback is coming from a good place, but starting the conversation can be tricky. This course—designed by Aimee Bateman, career expert and founder of Careercake—explains how you can develop the confidence and communication skills necessary to deliver productive feedback up the chain and have effective conversations with managers and senior colleagues.<br><br>

This course was created by <a href=”https://www.careercake.com/” target=”_blank”>Careercake</a>, the careers content platform. We are pleased to host this training in our library.",Course,2020-12-16 03:22 UTC,N/A,false,N/A,
Communication Foundations,"Learn how to communicate more effectively. Your communication skills affect your career prospects, the value you bring to your company, and the likelihood of your promotion. This course helps you communicate better in a variety of professional situations, including meetings, email messages, pitches, and presentations. Instructors Tatiana Kolovou and Brenda Bailey-Hughes introduce the four building blocks of communication—people, message, context, and listening—and show how they apply in different circumstances. Through the use of vignettes and applied tools, the course shows how to build this core competency and communicate in a way that effectively and professionally conveys your message.",Course,2021-07-13 20:11 UTC,N/A,false,N/A,
R for Data Science: Lunch Break Lessons,"Programming is learned in small bits. You build on basic concepts. You transfer the knowledge you already have to the next language. <i>Lunch Break Lessons</i> teaches R—one of the most popular programming languages for data analysis and reporting—in short lessons that expand on what existing programmers already know.<br><br>

The five minutes you spend each week will provide you with a building block you can use in the next two hours at work. Review language basics, discover methods to improve existing R code, explore new and interesting features, and learn about useful development tools and libraries that will make your time programming with R that much more productive.<br><br>

All series code samples can be downloaded at <a href=""https://github.com/mnr/five-minutes-of-R"" target=""_blank"">https://github.com/mnr/five-minutes-of-R</a>.</br></br>Note: Because this is an ongoing series, viewers will not receive a certificate of completion.",Course,2022-06-04 03:56 UTC,N/A,false,N/A,
DJ Patil: Ask Me Anything,"DJ Patil—the former US chief data scientist—boasts a unique perspective on the future, risks, and all-around power of data. In addition to shaping policies at the White House, he's authored influential academic papers and served as head of data products at LinkedIn, where he helped to coin the term ""data scientist."" In this weekly series, DJ tackles questions posed by LinkedIn members, diving into topics ranging from data security to the future of data science. Tune in every Wednesday for a fresh set of answers.",Course,2022-07-22 19:45 UTC,N/A,false,N/A,
Python Essential Training (2018),"Due to its power and simplicity, Python has become the scripting language of choice for many large organizations, including Google, Yahoo, and IBM. A thorough understanding of Python 3, the latest version, will help you write more efficient and effective scripts. In this course, Bill Weinman demonstrates how to use Python 3 to create well-designed scripts and maintain existing projects. This course covers the basics of the language syntax and usage, as well as advanced features such as objects, generators, and exceptions. Learn how types and values are related to objects; how to use control statements, loops, and functions; and how to work with generators and decorators. Bill also introduces the Python module system and shows examples of Python scripting at work in a real-world application.",Course,2021-09-24 22:12 UTC,N/A,false,N/A,
Deep Learning: Model Optimization and Tuning,"Deep Learning as a technology has grown leaps and bounds in the last few years. More and more AI solutions use Deep Learning as their foundational technology. Studying this technology, however, presents several challenges. IT professionals from varying backgrounds need a simplified resource to learn the concepts and build models quickly. In this course, instructor Kumaran Ponnambalam provides a simplified path to understand various optimization and tuning options available for deep learning models and shows you how to use these options to improve models. He begins by reviewing Deep Learning, including artificial neural networks and architectures. Next, Kumaran discusses the process of hyper parameter tuning. He examines the building blocks of neural networks and the levers available to tune them. Kumaran offers recommendations and best practices. Then he concludes with an end-to-end tuning example.",Course,2022-06-03 03:04 UTC,N/A,false,N/A,
Networking Foundations: Networking Basics,"When someone begins to study networking, they’re challenged with knowing where to start. This is due to the wide spectrum of technologies falling under the umbrella of networking. This course provides an overview of the foundational topics any networking professional should know, as well as an introduction to emerging technologies. Instructor Kevin Wallace delves into the purpose of networks, as well as how networking technologies benefit us in both our personal and business lives. He covers network addresses, including the structures of Internet Protocol (IP) version 4 and version 6 addresses. Plus, learn about switches, routers, fiber-optic cabling, and other essential pieces and parts that make networks work; the OSI model; common network services; wireless networks; and more.",Course,2022-05-27 21:53 UTC,N/A,false,N/A,
Is There A Book In You? Learn to Create Your Own Masterpiece,"Are you a passionate writer who’s always thought about writing a book, but didn’t know where to start? Maybe you have a kernel of an idea but don’t know how to expand on it. Or maybe you’ve had trouble finding your own voice. Or maybe you just don’t want to face rejection or criticism. This guide from genConnectU features lessons from renowned Irish author Sinead Moriarty, and guides you through the steps of unlocking the book you may have inside you. Sinead talks about her passion for writing and shares tools and tips on how to get started on your writing journey. She covers how to find your unique voice as an author, thread a storyline, and bring characters to life. She also covers the practical aspects like pursuing a publishing deal, dealing with setbacks, and managing the ups and downs of life as a writer. If you have a story to tell but haven’t been sure how to tell it, or just lack the confidence to start, join Sinead in this course.
 <br><br>
Note: This course was created by genConnectU. We are pleased to host this training in our library.",Course,2022-04-05 17:24 UTC,N/A,false,N/A,
C Programming for Embedded Applications (2018),"Learn to write embedded software in C and deliver applications that are small, efficient, and fast. In this course, instructor Eduardo Corpeño explains how C programming and the Internet of Things combine in embedded applications—software that permanently resides on a device. He reviews the challenges involved in this type of programming, ranging from memory, storage, and power limitations to hardware awareness. He explains how different data types can affect the performance of your app and reviews bit manipulation—an area where C shines. Eduardo shows how to manipulate bit-level data using bit masking and bit fields, demonstrating the strengths of both techniques with an Arduino controller.  Then learn how to use the volatile and const variables to enforce data correctness and read-only access, and explore alternatives to traditional functions, which may take too long to run, and floating-point math, which consumes CPU.",Course,2019-02-24 06:18 UTC,N/A,false,N/A,
Power BI Data Methods,"<div><a href=""https://www.linkedin.com/newsletters/6827804190581039104?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">View Helen's LinkedIn Newsletter</a></div><br>Power BI is a powerful data analytics and visualization tool that helps users monitor data, analyze trends, and make smarter decisions. The breadth of the tool's capabilities is quite wide across the entire application, ranging from custom data connectors to custom dashboard visuals. This course focuses on the data end of Power BI, also known as Power Query (the same Power Query found in Excel), and how this part of the application can automate the data querying process and restructuring of data sets. Instructor Helen Wall goes over the array of Power BI data connection options, from static files to Python scripts; shares key techniques for transforming unusable data; explains how to use the M formula language to improve efficiency and create custom queries; and more.",Course,2021-11-26 23:08 UTC,N/A,false,N/A,
Guy Kawasaki on Turning Life Wisdom into Business Success,"Get career advice from a real ""wise guy."" In this course, based on his book <i>Wise Guy</i>, one of the world's leading corporate evangelists, Guy Kawasaki, talks about how he built his career. Learn how he landed his first real job in the jewelry business—which turned out to be surprisingly useful training for the tech world. Find out why some of the riskiest moves he made at Apple—disparaging a potential partner and trading jabs with Steve Jobs—paid off. Guy also reveals how taking up surfing at the age of 62 sparked a new passion. In total, Guy covers everything from moral values to business skills to parenting. As he writes, “I hope my stories help you live a more joyous, productive, and meaningful life. If <i>Wise Guy</i> succeeds at this, then that’s the best story of all.”<br><br>

This course was created by <a href=""https://genconnectu.com/"" target=""_blank"">genconnectU</a>. We are pleased to offer this training in our library.",Course,2020-11-19 06:08 UTC,N/A,false,N/A,
From Excel to SQL,"Data is powerful, and the ability to access it quickly and accurately is important. In this course, instructor James Parkin helps you use your existing Excel skills to master the basics of working with data in SQL, one of the most common languages for database wrangling. James shows you how to set up your environment for SQL and shares some differences between spreadsheets and databases. He steps through SQL basics that you need to know to access and identify the data you need. In both Excel and SQL, you work with functions. James covers several, including SUM, AVERAGE, MIN, MAX, COUNT. He explains different methods of sorting, grouping, and organizing your data in SQL. James concludes by showing you how to use joins, VLOOKUP, HLOOKUP, and XLOOKUP to combine your data.<br><br>This course was created by <a href=""http://www.onlymadecraft.com"" target=""_blank"">Madecraft</a>. We are pleased to host this training in our library.<br><br><img src=""http://files3.lynda.com/files/course_description_images/MadeCraft-Description-Logo.jpg"" height=""20%"" width=""20%"">",Course,2022-08-11 22:44 UTC,N/A,false,N/A,
8 Things You Must Know in Python,"There are many beginner Python tutorials, but to build useful applications, you need to move beyond the basics. This course helps you on the journey to writing intermediate-level Python code. Instructor Jonathan Fernandes presents eight things that you should know how to do in Python. Topics include the Python any() and all() methods, using enumerate() and zip() methods, min() and max(), and more. For each topic, Jonathan provides a hands-on approach and then gives you a challenge (with solutions) to practice.
<br><br>
Note: This course was created by Jonathan Fernandes. We are pleased to host this training in our library.",Course,2021-09-16 05:32 UTC,N/A,false,N/A,
Lightroom for Faces (2019),"Retouching faces used to be challenging without using Adobe Photoshop, but recent improvements in Lightroom—involving the Spot Removal tool, Clone Stamp tool, Adjustment Brush tool, syncing capabilities, and more—have made it much simpler to use Lightroom as a stand-alone solution. This course shows you how to save time by staying in Lightroom instead of Photoshop. Discover how to remove unwanted blemishes, make local or targeted adjustments, enhance eyes, smooth skin, and more.",Course,2020-12-25 11:28 UTC,N/A,false,N/A,
C++: Advanced Topics,"Want to deepen your understanding of C++? In this course, explore some of the more complex aspects of this core programming language, from smart pointers to move semantics. Instructor Bill Weinman begins by diving deeper into the subject of classes and objects, including class inheritance. Next, Bill goes over smart pointers, which provide the functionality of a pointer with managed memory allocation. He also covers move semantics, including the copy-and-swap idiom; lambda functions; working with a unit test library; and creating a custom string library. As he wraps up the course, Bill shares practical applications of these concepts, helping you grasp how to leverage your new skills in your own C++ projects.",Course,2020-04-29 00:58 UTC,N/A,false,N/A,
Python: Data Analysis (2015),"If you're going to work with big data, you'll probably be using R or Python. And if you're using Python, you'll be definitely using Pandas and NumPy, the third-party packages designed specifically for data analysis. This course provides an opportunity to learn about them. Michele Vallisneri shows how to set up your analysis environment and provides a refresher on the basics of working with data containers in Python. Then he jumps into the big stuff: the power of arrays,  indexing, and DataFrames in NumPy and Pandas. He also walks through two sample big-data projects: one using NumPy to analyze weather patterns and the other using Pandas to analyze the popularity of baby names over the last century. Challenges issued along the way help you practice what you've learned.",Course,2020-06-04 04:54 UTC,N/A,false,N/A,
Applying Analytics to Your Learning Program,"Is your learning and development (L&D) program actually making an impact? And if it is, how can you showcase its success to stakeholders at your organization? Learning analytics can help you on both counts by allowing you to tether your program's outcomes to your company's business goals, as well as highlight strengths and opportunities for both your program and the learners you're aiming to reach. In this course, instructor Tim Dickinson digs into this rich topic, detailing how to use learning experience, learner, and program analytics to measure your L&D success. Tim covers how to gather data, how to define and measure learning experience, how learner evaluation can inform talent development, and more, sharing real-life examples along the way.",Course,2022-01-10 02:35 UTC,N/A,false,N/A,
AutoCAD 2021 Essential Training,"AutoCAD 2021 is a powerful designing and drafting software used to create precise 2D and 3D designs. In this course, explore learning beyond the basics covered in <i>Learning AutoCAD</i>. Shaun Bryant covers using the ribbon, choosing workspaces, and using the ViewCube. Shaun also demonstrates managing units and options, drawing and modifying objects, working with dimensioning techniques, and using attributes, tables, and external references. The course offers training that helps prepare you to use AutoCAD competently in any industry including architecture, engineering, construction, manufacturing, and product design.",Course,2022-07-11 05:29 UTC,N/A,false,N/A,
Picking the Right Metrics,"It can be challenging to build trust into the metrics your company use to guide decision-making. In this audio-only course, Ben Sullins interviews former Facebook and AirBnB Data Product Manager James Mayfield on why focusing on the metrics is the right path to take to enable trust in your company’s data. James discusses how he got into the field of data science and the skills he focused on when getting into data. Ben and James explain how to make good business decisions possible by translating huge amounts of data into something useful. They go over data tools, data products, and how internal developers are creating the data tools of the future. Ben and James also cover how to make sure your metrics are true and transparent, how they add value to your business, and how to implement version control for your metric definitions.
<br><br>
Note: This course was created by Ben Sullins and Free the Data Academy. We are pleased to host this training in our library.",Course,2022-04-23 14:32 UTC,N/A,false,N/A,
Tableau Essential Training (2020.1),"Tableau is a widely used data analytics and visualization tool that many consider indispensable for data-science-related work. Its drag-and-drop interface makes it easy to sort, compare, and analyze data from multiple sources, including Excel, SQL Server, and cloud-based data repositories. In this course, learn what you need to know to analyze and display data using Tableau 2020—and make better, more data-driven decisions for your company. Discover how to install Tableau, connect to data sources, and sort and filter your data. Instructor Curt Frye also demonstrates how to create and manipulate data visualizations—including highlight tables, charts, scatter plots, histograms, maps, and dashboards—and shows how to share your visualizations. Along the way, he highlights the new features packed into this edition of the software, including Viz Animations, which allows you to visually follow the movement of marks in a data visualization to see and understand your changing data.",Course,2022-07-07 05:47 UTC,2021-09-13 05:21 UTC,false,N/A,
ArcGIS Pro Essential Training,"ArcGIS Pro is a popular geographic information system (GIS) that combines the power of 2D and 3D mapping with cloud-based sharing and collaboration features. Version 2.4 contains visualization and editing enhancements that make it more powerful than ever. In this course, Gordon Luckett teaches you the essentials of working with ArcGIS Pro 2.4. Gordon shows you how to get started with choosing a template, creating a project, navigating in ArcGIS Pro, and setting up project and map properties. He goes over using vector data, raster data, and styling data. Then Gordon shows you how to style and label your maps. He explains how to build global and local 3D scenes, as well as extrude building heights and link 2D maps to your 3D scenes. After covering how to print map layouts, Gordon dives into creating feature classes, drawing new data, editing feature attributes, and more. He discusses how to use geospatial tools, publish to ArcGIS online, share individual files or entire projects, and more.",Course,2022-07-18 02:49 UTC,N/A,false,N/A,
Understanding Business,"Learn the foundational concepts underlying all businesses, small to large. Arizona State University professor Eddie Davila covers all the basics, explaining concepts such as how revenues and costs influence a company's profit and which teams play a key role in any organization's success. He then provides a basic explanation of how finance teams operate in a business, so that you can better understand what drives financial decisions in an organization. He also reviews how companies communicate with customers via marketing and branding; how supply chains function in an organization; and how accounting, HR, and IT teams work to manage an organization's money, employees, and information.",Course,2021-10-05 01:45 UTC,N/A,false,N/A,
Statistics Foundations 1: The Basics,"Statistics is not just the realm of data scientists. All types of jobs use statistics. Statistics are important for making decisions, new discoveries, investments, and predictions. Whether the subject is political races, sports rankings, shopping trends, or healthcare advancements, statistics is an instrument for understanding your favorite topic at a deeper level. In this course, Professor Eddie Davila offers beginner-level lessons, so you too can master the terms, formulas, and techniques needed to perform the most common types of statistics.
<br><br>
Eddie covers several examples of data and charts. He explains how to find the middle of your data set, as well as the mean and median. He introduces range, then goes into standard deviation and what to do with outliers. These techniques help you understand your data, prove theories, and save time, money, and other valuable resources—all by understanding the numbers.",Course,2021-10-05 02:39 UTC,2021-10-05 02:31 UTC,true,N/A,
Data Science Foundations: Fundamentals (2019),"Data science is driving a world-wide revolution that touches everything from business automation to social interaction. It’s also one of the fastest growing, most rewarding careers, employing analysts and engineers around the globe. This course provides an accessible, nontechnical overview of the field, covering the vocabulary, skills, jobs, tools, and techniques of data science. Instructor Barton Poulson defines the relationships to other data-saturated fields such as machine learning and artificial intelligence. He reviews the primary practices: gathering and analyzing data, formulating rules for classification and decision-making, and drawing actionable insights. He also discusses ethics and accountability and provides direction to learn more. By the end, you’ll see how data science can help you make better decisions, gain deeper insights, and make your work more effective and efficient.",Course,2021-09-13 20:55 UTC,N/A,false,N/A,
Interpersonal Communication,"<div><a href=""https://www.linkedin.com/newsletters/6640647216497209344?trk=lil-course-description"" target=""_blank"" class=""artdeco-button artdeco-button--1"">View Dorie's LinkedIn Newsletter</a></div><br>Communicating effectively isn't an innate talent that some people have and others don't—it's something that anyone can learn and practice. In this course, learn strategies that can help you hone and master your interpersonal communication skills. Join personal branding and career expert Dorie Clark as she shares techniques for getting your message across effectively in the workplace, and explains how to tackle potential communication challenges with your colleagues and supervisor. She also discusses how to grapple with tricky situations, taking you through how to handle interruptions, respond to critical feedback, and communicate across cultures.",Course,2022-05-31 19:49 UTC,N/A,false,N/A,
Learning Personal Branding,"You are the most powerful marketing tool at your disposal. If you are starting a business, establishing your thought leadership, or trying to get ahead in your career, it's a great time to start investing in the brand of you. Learn the secrets of personal branding in this course with marketing expert Chelsea Krost. Chelsea explains how to develop your story, craft your messaging, and define your audience. Then she walks you through building your brand presence online and off, creating a calendar that will help you stay on top of social media and keep your content fresh. Plus, get tips to monetize your personal brand and land speaking engagements and guest roles.",Course,2021-01-13 23:13 UTC,N/A,false,N/A,
